Year,Month,Platform,Channel,KPI, Actual , Target 
2025,Jan,Customer Portal,Total,Registered Customers,"8,473.00","7,857.00"
2025,Jan,Customer Portal,Total,Active Customers,"1,913.00","1,963.00"
2025,Jan,Customer Portal,Total,Delivered Orders,"4,099.00","4,203.00"
2025,Jan,Customer Portal,Total,Order Frequency,2.1,
2025,Jan,Customer Portal,Total,Fulfillment Rate %,74,
2025,Jan,Customer Portal,Total,Digital Order Share %,2.76,
2025,Jan,Customer Portal,Total,Volume UC,"603,304.00","327,918.00"
2025,Jan,Customer Portal,Total,UC per Order,109,
2025,Jan,Customer Portal,Total,Digital Volume Share %,4.83,
2025,Jan,Customer Portal,Total,Active Placed,"2,743.00",
2025,Jan,Customer Portal,Total,NSR,"54,910,244.00","26,531,849.00"
2025,Feb,Customer Portal,Total,Registered Customers,"9,305.00","8,482.00"
2025,Feb,Customer Portal,Total,Active Customers,"2,108.00","2,118.00"
2025,Feb,Customer Portal,Total,Delivered Orders,"4,281.00","4,672.00"
2025,Feb,Customer Portal,Total,Order Frequency,2,
2025,Feb,Customer Portal,Total,Fulfillment Rate %,76,
2025,Feb,Customer Portal,Total,Digital Order Share %,2.45,
2025,Feb,Customer Portal,Total,Volume UC,"711,071.00","494,564.00"
2025,Feb,Customer Portal,Total,UC per Order,126,
2025,Feb,Customer Portal,Total,Digital Volume Share %,4.19,
2025,Feb,Customer Portal,Total,Active Placed,"3,133.00",
2025,Feb,Customer Portal,Total,NSR,"60,802,839.00","38,743,899.00"
2025,Mar,Customer Portal,Total,Registered Customers,"8,914.00","9,137.00"
2025,Mar,Customer Portal,Total,Active Customers,"1,717.00","2,284.00"
2025,Mar,Customer Portal,Total,Delivered Orders,"4,608.00","5,155.00"
2025,Mar,Customer Portal,Total,Order Frequency,2.7,
2025,Mar,Customer Portal,Total,Fulfillment Rate %,78,
2025,Mar,Customer Portal,Total,Digital Order Share %,2.01,
2025,Mar,Customer Portal,Total,Volume UC,"872,074.00","871,822.00"
2025,Mar,Customer Portal,Total,UC per Order,147,
2025,Mar,Customer Portal,Total,Digital Volume Share %,3.35,
2025,Mar,Customer Portal,Total,Active Placed,"2,476.00",
2025,Mar,Customer Portal,Total,NSR,"75,207,833.00","68,973,058.00"
2025,Apr,Customer Portal,Total,Registered Customers,"9,621.00","10,317.00"
2025,Apr,Customer Portal,Total,Active Customers,"1,773.00","2,542.00"
2025,Apr,Customer Portal,Total,Delivered Orders,"5,291.00","5,676.00"
2025,Apr,Customer Portal,Total,Order Frequency,3,
2025,Apr,Customer Portal,Total,Fulfillment Rate %,77,
2025,Apr,Customer Portal,Total,Digital Order Share %,2.79,
2025,Apr,Customer Portal,Total,Volume UC,"1,098,099.00","653,889.00"
2025,Apr,Customer Portal,Total,UC per Order,159,
2025,Apr,Customer Portal,Total,Active Placed,"2,360.00",
2025,Apr,Customer Portal,Total,NSR,"96,588,674.00","93,866,058.00"
2025,Apr,Customer Portal,Total,Digital Volume Share %,5.15,
2025,May,Customer Portal,Total,Registered Customers,"10,087.00","10,817.00"
2025,May,Customer Portal,Total,Active Customers,"2,321.00","2,680.00"
2025,May,Customer Portal,Total,Delivered Orders,"8,433.00","6,071.00"
2025,May,Customer Portal,Total,Order Frequency,3.6,
2025,May,Customer Portal,Total,Fulfillment Rate %,83,
2025,May,Customer Portal,Total,Digital Order Share %,3.62,
2025,May,Customer Portal,Total,Volume UC,"1,905,166.00","834,075.00"
2025,May,Customer Portal,Total,UC per Order,189,
2025,May,Customer Portal,Total,Digital Volume Share %,7.6,
2025,May,Customer Portal,Total,Active Placed,"2,643.00",
2025,May,Customer Portal,Total,NSR,"172,720,844.00","156,442,853.00"
2025,Jun,Customer Portal,Total,Registered Customers,"11,830.00","11,317.00"
2025,Jun,Customer Portal,Total,Active Customers,"4,494.00","2,818.00"
2025,Jun,Customer Portal,Total,Delivered Orders,"16,439.00","6,468.00"
2025,Jun,Customer Portal,Total,Order Frequency,3.7,
2025,Jun,Customer Portal,Total,Fulfillment Rate %,81,
2025,Jun,Customer Portal,Total,Digital Order Share %,5.41,
2025,Jun,Customer Portal,Total,Volume UC,"3,560,730.00","1,466,992.00"
2025,Jun,Customer Portal,Total,UC per Order,175,
2025,Jun,Customer Portal,Total,Digital Volume Share %,9.38,
2025,Jun,Customer Portal,Total,Active Placed,"4,877.00",
2025,Jun,Customer Portal,Total,NSR,"303,197,619.00","298,041,380.00"
2025,Jul,Customer Portal,Total,Registered Customers,"13,401.00","12,386.00"
2025,Jul,Customer Portal,Total,Active Customers,"6,235.00","4,739.00"
2025,Jul,Customer Portal,Total,Delivered Orders,"18,022.00","13,359.00"
2025,Jul,Customer Portal,Total,Order Frequency,2.9,
2025,Jul,Customer Portal,Total,Fulfillment Rate %,77,
2025,Jul,Customer Portal,Total,Digital Order Share %,6.37,
2025,Jul,Customer Portal,Total,Volume UC,"3,679,584.00","2,962,485.00"
2025,Jul,Customer Portal,Total,UC per Order,158,
2025,Jul,Customer Portal,Total,Digital Volume Share %,10.67,
2025,Jul,Customer Portal,Total,Active Placed,"6,882.00",
2025,Jul,Customer Portal,Total,NSR,"315,397,867.00","255,951,130.00"
2025,Aug,Customer Portal,Total,Registered Customers,"13,975.00","12,949.00"
2025,Aug,Customer Portal,Total,Active Customers,"6,611.00","4,968.00"
2025,Aug,Customer Portal,Total,Delivered Orders,"21,518.00","14,175.00"
2025,Aug,Customer Portal,Total,Order Frequency,3.3,
2025,Aug,Customer Portal,Total,Fulfillment Rate %,75,
2025,Aug,Customer Portal,Total,Digital Order Share %,6.9,
2025,Aug,Customer Portal,Total,Volume UC,"4,772,496.00","3,300,162.00"
2025,Aug,Customer Portal,Total,UC per Order,167,
2025,Aug,Customer Portal,Total,Digital Volume Share %,14.39,
2025,Aug,Customer Portal,Total,Active Placed,"6,978.00",
2025,Aug,Customer Portal,Total,NSR,"398,462,678.00","311,741,137.00"
2025,Sep,Customer Portal,Total,Registered Customers,"13,825.00","13,320.00"
2025,Sep,Customer Portal,Total,Active Customers,"7,722.00","5,084.00"
2025,Sep,Customer Portal,Total,Delivered Orders,"27,284.00","14,411.00"
2025,Sep,Customer Portal,Total,Order Frequency,3.53,
2025,Sep,Customer Portal,Total,Fulfillment Rate %,79.4,
2025,Sep,Customer Portal,Total,Digital Order Share %,8.21,
2025,Sep,Customer Portal,Total,Volume UC,"7,248,246.09","3,824,969.00"
2025,Sep,Customer Portal,Total,UC per Order,272.13,
2025,Sep,Customer Portal,Total,Digital Volume Share %,18.99,
2025,Sep,Customer Portal,Total,Active Placed,"7,172.00",
2025,Sep,Customer Portal,Total,NSR,"573,857,450.52","267,802,613.00"
2025,May,Customer Portal,HORECA,Registered Customers,84,60
2025,May,Customer Portal,HORECA,Active Customers,50,18
2025,May,Customer Portal,HORECA,Delivered Orders,118,27
2025,May,Customer Portal,HORECA,Order Frequency,2.4,
2025,May,Customer Portal,HORECA,Fulfillment Rate %,100,
2025,May,Customer Portal,HORECA,Digital Order Share %,2.13,
2025,May,Customer Portal,HORECA,Volume UC,"5,111.00","5,735.00"
2025,May,Customer Portal,HORECA,UC per Order,43,
2025,May,Customer Portal,HORECA,Digital Volume Share %,0.23,
2025,May,Customer Portal,HORECA,Active Placed,50,
2025,May,Customer Portal,HORECA,NSR,"294,892.00","316,677.00"
2025,Jun,Customer Portal,HORECA,Registered Customers,84,90
2025,Jun,Customer Portal,HORECA,Active Customers,52,27
2025,Jun,Customer Portal,HORECA,Delivered Orders,210,41
2025,Jun,Customer Portal,HORECA,Order Frequency,4,
2025,Jun,Customer Portal,HORECA,Fulfillment Rate %,100,
2025,Jun,Customer Portal,HORECA,Digital Order Share %,2.81,
2025,Jun,Customer Portal,HORECA,Volume UC,"11,385.00","12,258.00"
2025,Jun,Customer Portal,HORECA,UC per Order,54,
2025,Jun,Customer Portal,HORECA,Digital Volume Share %,0.41,
2025,Jun,Customer Portal,HORECA,Active Placed,38,
2025,Jun,Customer Portal,HORECA,NSR,"642,002.00","676,579.00"
2025,Jul,Customer Portal,HORECA,Registered Customers,90,120
2025,Jul,Customer Portal,HORECA,Active Customers,41,60
2025,Jul,Customer Portal,HORECA,Delivered Orders,173,240
2025,Jul,Customer Portal,HORECA,Order Frequency,4.2,
2025,Jul,Customer Portal,HORECA,Fulfillment Rate %,100,
2025,Jul,Customer Portal,HORECA,Digital Order Share %,2.1,
2025,Jul,Customer Portal,HORECA,Volume UC,"9,633.00","11,532.00"
2025,Jul,Customer Portal,HORECA,UC per Order,56,
2025,Jul,Customer Portal,HORECA,Digital Volume Share %,0.3,
2025,Jul,Customer Portal,HORECA,Active Placed,38,
2025,Jul,Customer Portal,HORECA,NSR,"535,141.00","657,375.00"
2025,Aug,Customer Portal,HORECA,Registered Customers,99,150
2025,Aug,Customer Portal,HORECA,Active Customers,45,75
2025,Aug,Customer Portal,HORECA,Delivered Orders,158,300
2025,Aug,Customer Portal,HORECA,Order Frequency,3.5,
2025,Aug,Customer Portal,HORECA,Fulfillment Rate %,100,
2025,Aug,Customer Portal,HORECA,Digital Order Share %,1.7,
2025,Aug,Customer Portal,HORECA,Volume UC,"5,398.00","16,151.00"
2025,Aug,Customer Portal,HORECA,UC per Order,34,
2025,Aug,Customer Portal,HORECA,Digital Volume Share %,0.37,
2025,Aug,Customer Portal,HORECA,Active Placed,51,
2025,Aug,Customer Portal,HORECA,NSR,"539,107.00","948,943.00"
2025,Sep,Customer Portal,HORECA,Registered Customers,194,180
2025,Sep,Customer Portal,HORECA,Active Customers,118,90
2025,Sep,Customer Portal,HORECA,Delivered Orders,323,360
2025,Sep,Customer Portal,HORECA,Order Frequency,2.74,
2025,Sep,Customer Portal,HORECA,Fulfillment Rate %,92.9,
2025,Sep,Customer Portal,HORECA,Digital Order Share %,3.28,
2025,Sep,Customer Portal,HORECA,Volume UC,"23,101.00","19,843.00"
2025,Sep,Customer Portal,HORECA,UC per Order,71.52,
2025,Sep,Customer Portal,HORECA,Digital Volume Share %,0.58,
2025,Sep,Customer Portal,HORECA,Active Placed,121,
2025,Sep,Customer Portal,HORECA,NSR,"1,265,499.00","1,071,935.00"
